,,gdp_per_capita,health_exp_gdp,life_expectancy,infant_mortality,population
AFE,2015,1479.61525980543,5.9713905922151,61.713030523495,49.010304526817,607123269.0
AFE,2016,1329.80728479234,6.06778640864792,62.1679813169199,47.7739196418728,623369401.0
AFE,2017,1520.21223076132,5.929017140206,62.5912750961501,46.7832639603647,640058741.0
AFE,2018,1538.90167917284,5.789154817055,63.3306913582336,43.8518142030077,657801085.0
AFE,2019,1493.81793829992,5.81267571889709,63.8572612837042,42.1900739123661,675950189.0
AFE,2020,1344.10320999294,6.03580639616092,63.7664840026943,41.1258527019551,694446100.0
AFE,2021,1522.3933455926,6.04446785568353,62.9799991857494,40.0875597895277,713090928.0
AFE,2022,1628.31894446307,5.72792044451625,64.4870195456608,39.6730585330406,731821393.0
AFE,2023,1510.74295082335,,65.146290855385,37.919755006862,750503764.0
AFE,2024,1567.63583892828,,,,769294618.0
AFW,2015,1860.72769393488,3.87204089971725,56.0383356484355,63.4495047767985,418127845.0
AFW,2016,1630.03944681121,3.83469623415834,56.3924518507367,62.4306493269898,429454743.0
AFW,2017,1574.23056047232,3.74252858246796,56.6264388112566,61.5022772493851,440882906.0
AFW,2018,1720.14027955102,3.30462450428005,57.036976441386,60.1219482365333,452195915.0
AFW,2019,1798.34068458315,3.32897540102703,57.1498467555118,59.5677025529984,463365429.0
AFW,2020,1680.03933212698,3.89296420486982,57.3644254011107,57.5502079306733,474569351.0
AFW,2021,1765.9547879785,4.15231880504646,57.3625716910274,56.4740436067272,485920997.0
AFW,2022,1796.66863273368,4.20982209551871,57.9878133945189,56.4303202171376,497387180.0
AFW,2023,1599.39298291654,,58.8557215483276,53.3372158285585,509398589.0
AFW,2024,1284.15444092323,,,,521764076.0
ARB,2015,6262.04168490023,4.98051029619013,70.6580123695192,29.9407485446151,410190679.0
ARB,2016,6012.51244365971,5.25983389240317,70.8964881164428,29.3311611016504,419808341.0
ARB,2017,6066.72679100575,5.13032433960265,71.1128560080647,29.8010256555211,428315886.0
ARB,2018,6668.2167280195,4.84959687174719,71.4312997859137,29.0584370535539,435998060.0
ARB,2019,6638.48541455372,4.95584429172273,71.8398932674972,28.0382567044511,444281315.0
ARB,2020,5722.48099531674,5.71176359177651,70.7265588103862,27.4244280775006,453723239.0
ARB,2021,6681.70895180141,5.27421179448308,70.4041144889903,26.9837450907913,460646603.0
ARB,2022,7931.61789279006,4.43998203289225,71.8760955992222,27.7678438480466,471352066.0
ARB,2023,7479.68809103279,,72.4446783578531,25.6477784978592,482105978.0
ARB,2024,7521.15330929761,,,,492579811.0
CSS,2015,14402.4725779389,5.43292838753599,71.8641021665476,20.3070480613609,4314191.0
CSS,2016,13297.7443496162,5.85146903027351,72.0516361154512,19.9264127273764,4341333.0
CSS,2017,13637.1207205804,6.04340285203463,72.1731041595093,19.4357477853048,4366140.0
CSS,2018,13815.3265154798,5.97905588721147,72.2210854022703,18.9694540993662,4407658.0
CSS,2019,13938.2023201976,6.1595804431491,72.1292604830284,18.9557957775071,4443134.0
CSS,2020,11925.7573950011,6.95111117623348,71.9394359303317,18.219759136336,4459302.0
CSS,2021,13833.3099303464,6.54494143338545,69.9228107471769,17.8103424792288,4479167.0
CSS,2022,17355.8366579795,5.69269774449756,72.8322921090608,17.3249795510315,4497310.0
CSS,2023,17582.2636796878,,73.1716450013098,16.8199872052641,4519904.0
CSS,2024,20173.9564746676,,,,4539060.0
CEB,2015,12596.9475064791,6.51682921310469,76.5755119772504,4.8691632333314,102973167.0
CEB,2016,12874.7406922285,6.66925865717259,76.9703062304413,4.65300774010684,102647939.0
CEB,2017,14339.8580613846,6.59863381075736,76.929788715597,4.43311578591842,102337501.0
CEB,2018,16245.193864543,6.54941720981653,76.9764380835075,4.2370588675825,102074201.0
CEB,2019,16551.8488917344,6.66415132130792,77.2659141936307,4.05746028397598,101864274.0
CEB,2020,16595.9352698049,7.2547964609141,76.0162701269145,3.9944836328859,101215763.0
CEB,2021,19239.8185020397,7.43813435081596,74.7232827859077,3.92952886675911,100205732.0
CEB,2022,19548.6930479638,7.02752581684412,76.6522987292583,3.92088972010921,100071871.0
CEB,2023,22699.5351734821,,77.8967836493153,3.91337411673734,100175859.0
CEB,2024,24543.3040551653,,,,100050066.0
EAR,2015,3219.68827173818,5.09854921168731,69.6305484421664,33.7182292440767,3190318707.0
EAR,2016,3269.98432817621,5.02838951772986,69.9484837084835,32.4493821182905,3233033717.0
EAR,2017,3505.10621501561,4.86223472746513,70.2729949393554,31.2890875640493,3274060446.0
EAR,2018,3515.76621670583,4.69420843554617,70.5486659921504,30.2298481709763,3314245247.0
EAR,2019,3543.32390703605,4.6275304438921,70.8424064605001,29.2451526731132,3355014793.0
EAR,2020,3250.74974734387,5.04675544515228,69.8801308490982,28.2962304261502,3396051187.0
EAR,2021,3765.51079786712,5.07274654361778,68.1790994839633,27.3828551047971,3432026092.0
EAR,2022,4113.00084852322,4.70314696610425,71.4304552508694,26.5516744711551,3470644834.0
EAR,2023,4313.64804240795,,71.7962449795855,25.7356924158151,3511607650.0
EAR,2024,4510.25268168449,,,,3552278604.0
EAS,2015,9657.52889618953,6.49133181360211,75.7926010192992,13.5,2300844269.0
EAS,2016,9928.67149927477,6.56327262916991,75.9870166732102,12.7,2317076058.0
EAS,2017,10526.6771695761,6.52232475551989,76.0789923585537,12.1,2333475520.0
EAS,2018,11394.4809001741,6.53775020752183,76.3914229383171,12.1,2347576325.0
EAS,2019,11578.2748298091,6.70689682888116,76.586261929345,11.8,2359771090.0
EAS,2020,11595.2940923559,6.96951697935485,76.5434376080231,12.0,2369438682.0
EAS,2021,13282.7636699758,6.7705042557205,76.1530093756951,11.9,2375144416.0
EAS,2022,13084.2848090909,6.59011392833255,76.6767834400676,11.8,2379648196.0
EAS,2023,13117.90954458,,76.6595183258032,11.6,2384479340.0
EAS,2024,13349.0833109152,,,,2388378491.0
EAP,2015,6589.77384002779,4.71920276681852,74.9511243848739,14.1236722092716,2056050896.0
EAP,2016,6683.18386893998,4.75527776647786,75.1559117663434,13.3481054035996,2071486140.0
EAP,2017,7241.92533795167,4.82032536758894,75.2396714880306,12.7061352288216,2087238522.0
EAP,2018,8045.94448809301,4.91927044261438,75.57828618156,12.6803994286295,2100698838.0
EAP,2019,8286.43967532333,5.06518052442302,75.7689690321509,12.3823972395839,2112289891.0
EAP,2020,8391.36838432689,5.35322263142449,75.6976393295064,12.5869944722223,2121866294.0
EAP,2021,9974.63640001599,5.26144564198792,75.2781418410849,12.547202398466,2128553744.0
EAP,2022,10106.8725194012,5.15451107926553,75.9325409436903,12.506974447304,2133560408.0
EAP,2023,10125.7668065643,,75.8806830895266,12.3149132336445,2137527754.0
EAP,2024,10396.8255168912,,,,2141122258.0
TEA,2015,6664.48716537469,4.7193646040799,74.9777768374826,14.0881626251997,2030504270.0
TEA,2016,6758.74015480622,4.75543505360665,75.1832269955477,13.3121020344373,2045816761.0
TEA,2017,7323.51023176133,4.820488543853,75.2671640185859,12.6748371076301,2061449949.0
TEA,2018,8136.36881824421,4.91942341840739,75.6101241544348,12.6527818290033,2074796982.0
TEA,2019,8379.40686898285,5.06534114409972,75.8042877234534,12.3564694277262,2086281644.0
TEA,2020,8485.42025780464,5.35338234770251,75.7338497054699,12.5638036399223,2095759417.0
TEA,2021,10086.4785164265,5.26160554561104,75.3009806060199,12.5217289355661,2102350702.0
TEA,2022,10220.360503609,5.15471141855297,75.9610347461336,12.4761247532852,2107261123.0
TEA,2023,10239.674334039,,75.9085643603807,12.2765509315217,2111139152.0
TEA,2024,10513.9755660123,,,,2114653077.0
EMU,2015,34467.5766635134,10.2176508289844,81.5193991217567,3.18124945321777,343180482.0
EMU,2016,35232.2695661265,10.1942688162357,81.9075874931284,3.16148384071981,344132977.0
EMU,2017,37237.5363554552,10.1595085077389,81.8840085594743,3.13924972204618,344810179.0
EMU,2018,40096.712205156,10.1492764413164,82.0027602577719,3.12113123920241,345864630.0
EMU,2019,39212.5111497975,10.2330126694132,82.2804211551829,3.06109921374487,346496601.0
EMU,2020,38234.5335889285,11.2232983183465,81.4873571657503,3.03698022817174,346986142.0
